"incl.cut1.val","incl.cut0.val","n.cut","Configurations"
0.529023950221017,0.241912178229541,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.365977257955819,0.204048135085031,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.968480555573478,0.47025680099614,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.489123380044475,0.296053615864366,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.509659266332164,0.104337934637442,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.912144088651985,0.48663084837608,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.479827643372118,0.14539708616212,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.681014671688899,0.521962008671835,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.983327416237444,0.193702625809237,"Frequency Threshold = 1","CONF*REG"
0.370610155630857,0.223343092948198,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.360826993593946,0.2294067137409,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.157465860247612,0.1046447083354,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.898080741986632,0.797841442283243,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.954068762483075,0.510103403124958,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.58095295028761,0.251908765174448,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.598750281147659,0.299477277090773,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.227209733100608,0.0453577251173556,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.39195797755383,0.0809659773949534,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.256791024003178,0.214504685951397,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.746899325866252,0.388394470792264,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.797343788435683,0.507667987141758,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.852741103153676,0.300655778031796,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.273588348180056,0.129064281703904,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.680232991464436,0.201284591108561,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.823239677585661,0.66926306206733,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.565129440044984,0.29553170944564,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.846325636142865,0.030135806184262,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.979786894284189,0.15093085123226,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.945350832538679,0.127987734042108,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat"
0.294220141135156,0.170925181591883,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.697427535895258,0.48500297148712,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.789055695990101,0.636584635823965,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.524462111759931,0.171776865143329,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.797498531639576,0.5451039748732,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.437431543599814,0.162512281443924,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.785162297543138,0.108021557563916,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.601435533957556,0.570649747969583,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.76938998606056,0.679494907148182,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.449154051952064,0.190232662949711,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.648203408811241,0.24506908422336,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.750719265313819,0.422655873000622,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat + 
  PUBID*conf*reg*MAT"
0.489017592510208,0.43232754827477,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.886798564577475,0.451150722801685,"Frequency Threshold = 1","CONF*REG + 
  PUBID*CONF*mat + 
  pubid*conf*reg*mat"
0.633097156416625,0.0874694348312914,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  pubid*reg*mat + 
  PUBID*conf*reg*MAT"
0.430734953843057,0.0261147480923682,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
0.241032046498731,0.0745417738799006,"Frequency Threshold = 1","CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*conf*reg + 
  CONF*mat + 
  CONF*REG + 
  conf*reg*MAT + 
  pubid*reg*mat"
